threshold,tpr,fpr
0.00,1.0000,1.0000
0.01,1.0000,1.0000
0.02,1.0000,1.0000
0.03,1.0000,1.0000
0.04,1.0000,1.0000
0.05,1.0000,1.0000
0.06,1.0000,1.0000
0.07,1.0000,1.0000
0.08,1.0000,1.0000
0.09,1.0000,1.0000
0.10,1.0000,1.0000
0.11,1.0000,1.0000
0.12,1.0000,1.0000
0.13,1.0000,1.0000
0.14,1.0000,1.0000
0.15,1.0000,1.0000
0.16,1.0000,1.0000
0.17,1.0000,0.9833
0.18,1.0000,0.9333
0.19,1.0000,0.8167
0.20,1.0000,0.7056
0.21,1.0000,0.5167
0.22,0.9980,0.3556
0.23,0.9872,0.2278
0.24,0.9528,0.1278
0.25,0.9077,0.0778
0.26,0.8281,0.0333
0.27,0.7024,0.0111
0.28,0.5501,0.0000
0.29,0.3919,0.0000
0.30,0.2534,0.0000
0.31,0.1287,0.0000
0.32,0.0639,0.0000
0.33,0.0324,0.0000
0.34,0.0177,0.0000
0.35,0.0108,0.0000
0.36,0.0039,0.0000
0.37,0.0000,0.0000
0.38,0.0000,0.0000
0.39,0.0000,0.0000
0.40,0.0000,0.0000
0.41,0.0000,0.0000
0.42,0.0000,0.0000
0.43,0.0000,0.0000
0.44,0.0000,0.0000
0.45,0.0000,0.0000
0.46,0.0000,0.0000
0.47,0.0000,0.0000
0.48,0.0000,0.0000
0.49,0.0000,0.0000
0.50,0.0000,0.0000
0.51,0.0000,0.0000
0.52,0.0000,0.0000
0.53,0.0000,0.0000
0.54,0.0000,0.0000
0.55,0.0000,0.0000
0.56,0.0000,0.0000
0.57,0.0000,0.0000
0.58,0.0000,0.0000
0.59,0.0000,0.0000
0.60,0.0000,0.0000
0.61,0.0000,0.0000
0.62,0.0000,0.0000
0.63,0.0000,0.0000
0.64,0.0000,0.0000
0.65,0.0000,0.0000
0.66,0.0000,0.0000
0.67,0.0000,0.0000
0.68,0.0000,0.0000
0.69,0.0000,0.0000
0.70,0.0000,0.0000
0.71,0.0000,0.0000
0.72,0.0000,0.0000
0.73,0.0000,0.0000
0.74,0.0000,0.0000
0.75,0.0000,0.0000
0.76,0.0000,0.0000
0.77,0.0000,0.0000
0.78,0.0000,0.0000
0.79,0.0000,0.0000
0.80,0.0000,0.0000
0.81,0.0000,0.0000
0.82,0.0000,0.0000
0.83,0.0000,0.0000
0.84,0.0000,0.0000
0.85,0.0000,0.0000
0.86,0.0000,0.0000
0.87,0.0000,0.0000
0.88,0.0000,0.0000
0.89,0.0000,0.0000
0.90,0.0000,0.0000
0.91,0.0000,0.0000
0.92,0.0000,0.0000
0.93,0.0000,0.0000
0.94,0.0000,0.0000
0.95,0.0000,0.0000
0.96,0.0000,0.0000
0.97,0.0000,0.0000
0.98,0.0000,0.0000
0.99,0.0000,0.0000
